full_name;age;birthday_GMT;league;season;position;Current Club;minutes_played_overall;minutes_played_home;minutes_played_away;nationality;appearances_overall;goals_overall;assists_overall;penalty_goals;penalty_misses;yellow_cards_overall;red_cards_overall;assists_per_90_overall;passes_per_90_overall;shots_total_overall;blocks_total_overall
Carlos Campos;20;lunes, 02 de junio de 2003;Primera Division;2023;Midfielder;Rosario Central;0;0;0;Argentina;0;0;0;0;0;0;0;0;0;0;0
Carlos Gustavo David Quintana;35;jueves, 11 de febrero de 1988;Primera Division;2023;Defender;Rosario Central;2259;1223;1036;Argentina;27;2;0;1;1;6;0;0;34.02;18;20
Carlos Nicola Colazo;33;domingo, 08 de julio de 1990;Primera Division;2023;Forward;Gimnasia La Plata;984;404;580;Argentina;15;0;0;0;0;1;0;0;33.48;6;5
Carlos Sichez;37;jueves, 06 de febrero de 1986;Primera Division;2023;Midfielder;San Lorenzo;1668;767;901;Colombia;26;0;0;0;0;4;1;0;36.10;7;6
Carlos Segundo Pachame;22;domingo, 03 de junio de 2001;Primera Division;2023;Midfielder;Estudiantes;0;0;0;Argentina;0;0;0;0;0;0;0;0;0;0;0
Cesar Ibañez;24;jueves, 19 de agosto de 1999;Primera Division;2023;Defender;Huracan;386;90;296;Argentina;7;0;0;0;0;0;0;0;42.44;3;0
Christian Chimino;35;martes, 09 de febrero de 1988;Primera Division;2023;Defender;Arsenal de Sarandi;0;0;0;Argentina;0;0;0;0;0;0;0;0;0;0;0
Christian Gabriel Oliva Gimenez;27;sabado, 01 de junio de 1996;Primera Division;2023;Midfielder;Talleres Cordoba;424;274;150;Uruguay;16;0;0;0;0;1;0;0;52.07;3;0
Christian Nahuel Ordo�ez;19;Sabado, 24 de julio de 2004;Primera Division;2023;Midfielder;Velez Sarsfield;1123;700;423;Argentina;20;0;2;0;0;2;0;0.16;0.00;0;0
Ciro Pablo Rius Aragallo;34;jueves, 27 de octubre de 1988;Primera Division;2023;Forward;Platense;1806;837;969;Argentina;26;2;2;0;0;6;2;0.1;22.28;16;2
Claudio Agustin Valverde Molaro;21;martes, 26 de marzo de 2002;Primera Division;2023;Defender;Godoy Cruz;109;37;72;Argentina;4;0;0;0;0;1;0;0;0.00;0;0
Claudio Ezequiel Aquino;32;miercoles, 24 de julio de 1991;Primera Division;2023;Midfielder;Velez Sarsfield;116;87;29;Argentina;2;1;0;0;0;0;0;0;41.48;2;0
Claudio Jeremias Echeverri;17;lunes, 02 de enero de 2006;Primera Division;2023;Midfielder;River Plate;71;48;23;Argentina;4;0;1;0;0;0;0;1.27;0.00;0;0
Cristhian Javier Baez;33;lunes, 09 de abril de 1990;Primera Division;2023;Defender;Independiente;2206;1126;1080;Paraguay;25;0;0;0;0;5;0;0;37.85;5;11
Cristian Agustin Fontana;27;martes, 11 de junio de 1996;Primera Division;2023;Forward;Sarmiento;65;33;32;Argentina;2;1;0;0;0;0;0;0;11.08;1;0
Cristian Alberto Tarragona;32;martes, 09 de abril de 1991;Primera Division;2023;Forward;Gimnasia La Plata;1620;876;744;Argentina;22;5;1;1;1;7;0;0.06;24.06;36;2
Cristian Arce;30;viernes, 27 de agosto de 1993;Primera Division;2023;Goalkeeper;Barracas Central;0;0;0;Argentina;0;0;0;0;0;0;0;0;0;0;0
Cristian Bonesso;19;viernes, 09 de abril de 2004;Primera Division;2023;Forward;Rosario Central;0;0;0;Argentina;0;0;0;0;0;0;0;0;0;0;0
Cristian David Nu�ez Morales;25;Sabado, 20 de septiembre de 1997;Primera Division;2023;Midfielder;Godoy Cruz;458;175;283;Paraguay;21;0;0;0;0;3;0;0;51.68;0;0
Cristian Exequiel Zabala;25;miercoles, 04 de marzo de 1998;Primera Division;2023;Midfielder;Tigre;1066;445;621;Argentina;26;0;1;0;0;3;0;0.08;53.86;5;0
Cristian Ferreira;23;domingo, 12 de septiembre de 1999;Primera Division;2023;Midfielder;Newell's Old Boys;1703;965;738;Argentina;22;3;2;0;0;7;1;0.11;37.15;23;2
Cristian Franco Lema;33;Sabado, 24 de marzo de 1990;Primera Division;2023;Defender;Lanus;2315;1219;1096;Argentina;27;1;1;0;0;10;2;0.04;49.26;28;16
Cristian Gonzalo Torres;23;viernes, 24 de diciembre de 1999;Primera Division;2023;Forward;Central Cordoba SdE;760;336;424;Argentina;21;1;0;0;0;1;0;0;18.97;6;0
Cristian Matias Menendez;35;Sabado, 02 de abril de 1988;Primera Division;2023;Forward;Atletico Tucuman;382;197;185;Argentina;16;2;2;1;0;1;0;0.47;24.02;10;2
Cristian Medina;21;Sabado, 01 de junio de 2002;Primera Division;2023;Midfielder;Boca Juniors;1414;785;629;Argentina;24;4;2;0;0;4;0;0.13;48.44;17;1
Cristian Nahuel Barrios;25;jueves, 07 de mayo de 1998;Primera Division;2023;Midfielder;San Lorenzo;1782;929;853;Argentina;26;2;1;0;0;6;2;0.05;43.84;21;4
Cristian Orlando Vega;29;viernes, 17 de septiembre de 1993;Primera Division;2023;Midfielder;Colon;925;561;364;Argentina;17;1;0;0;0;4;0;0;44.95;6;3
