id_jugador;full_name;name;last_name;age;birthday_GMT;position_campo;current_club;nationality
134;Carlos Sichez;Carlos;Sichez;37;NULL;Midfielder;San Lorenzo;Colombia
135;Carlos Segundo Pachame;Carlos;Segundo Pachame;22;NULL;Midfielder;Estudiantes;Argentina
136;Cesar IbaÃ±ez;Cesar;IbaÃ±ez;24;NULL;Defender;Huracan;Argentina
137;Christian Chimino;Christian;Chimino;35;NULL;Defender;Arsenal de Sarandi;Argentina
138;Christian Gabriel Oliva Gimenez;Christian;Gabriel Oliva Gimenez;27;NULL;Midfielder;Talleres Cordoba;Uruguay
139;Christian Nahuel Ordoï¿½ez;Christian;Nahuel Ordoï¿½ez;19;NULL;Midfielder;Velez Sarsfield;Argentina
140;Ciro Pablo Rius Aragallo;Ciro;Pablo Rius Aragallo;34;NULL;Forward;Platense;Argentina
141;Claudio Agustin Valverde Molaro;Claudio;Agustin Valverde Molaro;21;NULL;Defender;Godoy Cruz;Argentina
142;Claudio Ezequiel Aquino;Claudio;Ezequiel Aquino;32;NULL;Midfielder;Velez Sarsfield;Argentina
143;Claudio Jeremias Echeverri;Claudio;Jeremias Echeverri;17;NULL;Midfielder;River Plate;Argentina
144;Cristhian Javier Baez;Cristhian;Javier Baez;33;NULL;Defender;Independiente;Paraguay
145;Cristian Agustin Fontana;Cristian;Agustin Fontana;27;NULL;Forward;Sarmiento;Argentina
146;Cristian Alberto Tarragona;Cristian;Alberto Tarragona;32;NULL;Forward;Gimnasia La Plata;Argentina
147;Cristian Arce;Cristian;Arce;30;NULL;Goalkeeper;Barracas Central;Argentina
148;Cristian Bonesso;Cristian;Bonesso;19;NULL;Forward;Rosario Central;Argentina
149;Cristian David Nuï¿½ez Morales;Cristian;David Nuï¿½ez Morales;25;NULL;Midfielder;Godoy Cruz;Paraguay
150;Cristian Exequiel Zabala;Cristian;Exequiel Zabala;25;NULL;Midfielder;Tigre;Argentina
151;Cristian Ferreira;Cristian;Ferreira;23;NULL;Midfielder;Newell's Old Boys;Argentina
